question,intent
Tell me the podium finishers at the Japanese GP.,race_results
What was the final result of the British GP?,race_results
Who won the Canadian GP?,race_results
What was the final result of the Canadian GP?,race_results
Tell me the podium finishers at the Japanese GP.,race_results
Who won the Monaco GP?,race_results
Tell me the podium finishers at the Australian GP.,race_results
What was the final result of the Japanese GP?,race_results
Who won the Monaco GP?,race_results
Who won the Australian GP?,race_results
Who won the British GP?,race_results
Who won the Canadian GP?,race_results
Tell me the podium finishers at the British GP.,race_results
What was the final result of the Australian GP?,race_results
What was the final result of the Monaco GP?,race_results
What was the final result of the Monaco GP?,race_results
Tell me the podium finishers at the Japanese GP.,race_results
Who won the Canadian GP?,race_results
Who won the Australian GP?,race_results
Tell me the podium finishers at the Canadian GP.,race_results
Who won the Japanese GP?,race_results
Tell me the podium finishers at the Australian GP.,race_results
Who won the Monaco GP?,race_results
Tell me the podium finishers at the British GP.,race_results
Who won the British GP?,race_results
Tell me the podium finishers at the Spanish GP.,race_results
Tell me the podium finishers at the Monaco GP.,race_results
Tell me the podium finishers at the Spanish GP.,race_results
Tell me the podium finishers at the Monaco GP.,race_results
Who won the British GP?,race_results
What was the final result of the British GP?,race_results
Tell me the podium finishers at the Japanese GP.,race_results
What was the final result of the Canadian GP?,race_results
Tell me the podium finishers at the Australian GP.,race_results
Who won the Spanish GP?,race_results
Tell me the podium finishers at the Japanese GP.,race_results
Who won the Australian GP?,race_results
Who won the Australian GP?,race_results
Tell me the podium finishers at the Canadian GP.,race_results
Tell me the podium finishers at the Spanish GP.,race_results
Tell me the podium finishers at the Australian GP.,race_results
Tell me the podium finishers at the British GP.,race_results
Who won the Monaco GP?,race_results
Tell me the podium finishers at the Australian GP.,race_results
Who won the Spanish GP?,race_results
What was the final result of the Canadian GP?,race_results
What was the final result of the Australian GP?,race_results
Who won the Japanese GP?,race_results
Tell me the podium finishers at the British GP.,race_results
Tell me the podium finishers at the Japanese GP.,race_results
What was the final result of the British GP?,race_results
Tell me the podium finishers at the Australian GP.,race_results
Tell me the podium finishers at the Monaco GP.,race_results
What was the final result of the Australian GP?,race_results
Tell me the podium finishers at the Canadian GP.,race_results
Tell me the podium finishers at the Canadian GP.,race_results
Who won the Australian GP?,race_results
What was the final result of the Japanese GP?,race_results
Who won the Canadian GP?,race_results
Tell me the podium finishers at the Monaco GP.,race_results
What was the final result of the Canadian GP?,race_results
Tell me the podium finishers at the Japanese GP.,race_results
Who won the Monaco GP?,race_results
Tell me the podium finishers at the Canadian GP.,race_results
Tell me the podium finishers at the Monaco GP.,race_results
What was the final result of the Monaco GP?,race_results
Tell me the podium finishers at the British GP.,race_results
What was the final result of the Spanish GP?,race_results
Who won the Spanish GP?,race_results
Who won the Australian GP?,race_results
Who won the Monaco GP?,race_results
Tell me the podium finishers at the Monaco GP.,race_results
What was the final result of the Spanish GP?,race_results
Who won the British GP?,race_results
What was the final result of the Monaco GP?,race_results
What was the final result of the Spanish GP?,race_results
Who won the Monaco GP?,race_results
Tell me the podium finishers at the Japanese GP.,race_results
Who won the Spanish GP?,race_results
Who won the Monaco GP?,race_results
What was the final result of the Spanish GP?,race_results
Tell me the podium finishers at the Monaco GP.,race_results
Who won the British GP?,race_results
Tell me the podium finishers at the Japanese GP.,race_results
What was the final result of the British GP?,race_results
What was the final result of the Canadian GP?,race_results
Tell me the podium finishers at the Australian GP.,race_results
What was the final result of the Spanish GP?,race_results
Tell me the podium finishers at the Japanese GP.,race_results
Tell me the podium finishers at the British GP.,race_results
Who won the British GP?,race_results
What was the final result of the Canadian GP?,race_results
What was the final result of the Spanish GP?,race_results
Who won the Monaco GP?,race_results
Tell me the podium finishers at the Australian GP.,race_results
What was the final result of the Japanese GP?,race_results
Tell me the podium finishers at the Australian GP.,race_results
Tell me the podium finishers at the British GP.,race_results
Who won the Japanese GP?,race_results
What was the final result of the Monaco GP?,race_results
Who got pole at the Monaco GP?,qualifying_results
How did qualifying go in the Monaco GP?,qualifying_results
How did qualifying go in the British GP?,qualifying_results
How did qualifying go in the Japanese GP?,qualifying_results
What was the qualifying order for the Canadian GP?,qualifying_results
How did qualifying go in the Australian GP?,qualifying_results
What was the qualifying order for the Monaco GP?,qualifying_results
What was the qualifying order for the Japanese GP?,qualifying_results
How did qualifying go in the British GP?,qualifying_results
What was the qualifying order for the Australian GP?,qualifying_results
How did qualifying go in the British GP?,qualifying_results
Who got pole at the Canadian GP?,qualifying_results
How did qualifying go in the Canadian GP?,qualifying_results
Who got pole at the Canadian GP?,qualifying_results
What was the qualifying order for the Spanish GP?,qualifying_results
What was the qualifying order for the Spanish GP?,qualifying_results
How did qualifying go in the Japanese GP?,qualifying_results
How did qualifying go in the Australian GP?,qualifying_results
How did qualifying go in the Monaco GP?,qualifying_results
Who got pole at the British GP?,qualifying_results
Who got pole at the Spanish GP?,qualifying_results
What was the qualifying order for the Monaco GP?,qualifying_results
Who got pole at the British GP?,qualifying_results
What was the qualifying order for the Spanish GP?,qualifying_results
Who got pole at the Monaco GP?,qualifying_results
Who got pole at the Monaco GP?,qualifying_results
Who got pole at the British GP?,qualifying_results
What was the qualifying order for the Canadian GP?,qualifying_results
How did qualifying go in the Monaco GP?,qualifying_results
What was the qualifying order for the Spanish GP?,qualifying_results
Who got pole at the Canadian GP?,qualifying_results
Who got pole at the Australian GP?,qualifying_results
What was the qualifying order for the Australian GP?,qualifying_results
What was the qualifying order for the Monaco GP?,qualifying_results
How did qualifying go in the Japanese GP?,qualifying_results
What was the qualifying order for the British GP?,qualifying_results
Who got pole at the Spanish GP?,qualifying_results
What was the qualifying order for the Canadian GP?,qualifying_results
What was the qualifying order for the Monaco GP?,qualifying_results
Who got pole at the Australian GP?,qualifying_results
How did qualifying go in the Spanish GP?,qualifying_results
Who got pole at the Monaco GP?,qualifying_results
How did qualifying go in the Canadian GP?,qualifying_results
Who got pole at the Monaco GP?,qualifying_results
How did qualifying go in the Spanish GP?,qualifying_results
What was the qualifying order for the British GP?,qualifying_results
What was the qualifying order for the Australian GP?,qualifying_results
How did qualifying go in the Monaco GP?,qualifying_results
How did qualifying go in the Canadian GP?,qualifying_results
Who got pole at the British GP?,qualifying_results
How did qualifying go in the British GP?,qualifying_results
How did qualifying go in the Canadian GP?,qualifying_results
Who got pole at the British GP?,qualifying_results
What was the qualifying order for the Australian GP?,qualifying_results
How did qualifying go in the British GP?,qualifying_results
Who got pole at the Canadian GP?,qualifying_results
Who got pole at the Canadian GP?,qualifying_results
How did qualifying go in the British GP?,qualifying_results
What was the qualifying order for the British GP?,qualifying_results
How did qualifying go in the Canadian GP?,qualifying_results
How did qualifying go in the Canadian GP?,qualifying_results
Who got pole at the Australian GP?,qualifying_results
Who got pole at the Japanese GP?,qualifying_results
Who got pole at the Japanese GP?,qualifying_results
Who got pole at the British GP?,qualifying_results
How did qualifying go in the British GP?,qualifying_results
Who got pole at the Spanish GP?,qualifying_results
What was the qualifying order for the Monaco GP?,qualifying_results
What was the qualifying order for the British GP?,qualifying_results
What was the qualifying order for the Monaco GP?,qualifying_results
Who got pole at the Monaco GP?,qualifying_results
What was the qualifying order for the Spanish GP?,qualifying_results
What was the qualifying order for the Japanese GP?,qualifying_results
What was the qualifying order for the Canadian GP?,qualifying_results
What was the qualifying order for the Spanish GP?,qualifying_results
Who got pole at the Australian GP?,qualifying_results
How did qualifying go in the Monaco GP?,qualifying_results
How did qualifying go in the Monaco GP?,qualifying_results
Who got pole at the Australian GP?,qualifying_results
What was the qualifying order for the British GP?,qualifying_results
Who got pole at the Spanish GP?,qualifying_results
Who got pole at the Australian GP?,qualifying_results
How did qualifying go in the Monaco GP?,qualifying_results
How did qualifying go in the Japanese GP?,qualifying_results
What was the qualifying order for the Australian GP?,qualifying_results
Who got pole at the Spanish GP?,qualifying_results
What was the qualifying order for the Japanese GP?,qualifying_results
Who got pole at the Spanish GP?,qualifying_results
How did qualifying go in the Australian GP?,qualifying_results
How did qualifying go in the British GP?,qualifying_results
How did qualifying go in the Monaco GP?,qualifying_results
What was the qualifying order for the Spanish GP?,qualifying_results
Who got pole at the Canadian GP?,qualifying_results
What was the qualifying order for the Japanese GP?,qualifying_results
What was the qualifying order for the Spanish GP?,qualifying_results
What was the qualifying order for the Monaco GP?,qualifying_results
What was the qualifying order for the Canadian GP?,qualifying_results
How did qualifying go in the Japanese GP?,qualifying_results
What was the qualifying order for the Canadian GP?,qualifying_results
What was the qualifying order for the Japanese GP?,qualifying_results
What was the fastest lap time during the Monaco GP?,fastest_laps
Which driver had the best lap in Spanish GP?,fastest_laps
Which driver had the best lap in Spanish GP?,fastest_laps
Who got the fastest lap at the Spanish GP?,fastest_laps
Which driver had the best lap in Spanish GP?,fastest_laps
Which driver had the best lap in Monaco GP?,fastest_laps
Which driver had the best lap in British GP?,fastest_laps
Who got the fastest lap at the British GP?,fastest_laps
What was the fastest lap time during the Monaco GP?,fastest_laps
Which driver had the best lap in Japanese GP?,fastest_laps
What was the fastest lap time during the Australian GP?,fastest_laps
Who got the fastest lap at the Canadian GP?,fastest_laps
Who got the fastest lap at the Spanish GP?,fastest_laps
Which driver had the best lap in Australian GP?,fastest_laps
Which driver had the best lap in Monaco GP?,fastest_laps
Which driver had the best lap in Australian GP?,fastest_laps
Which driver had the best lap in British GP?,fastest_laps
What was the fastest lap time during the Monaco GP?,fastest_laps
Which driver had the best lap in Spanish GP?,fastest_laps
What was the fastest lap time during the Australian GP?,fastest_laps
What was the fastest lap time during the Japanese GP?,fastest_laps
Which driver had the best lap in Canadian GP?,fastest_laps
Who got the fastest lap at the Australian GP?,fastest_laps
What was the fastest lap time during the British GP?,fastest_laps
Who got the fastest lap at the Spanish GP?,fastest_laps
Which driver had the best lap in Japanese GP?,fastest_laps
What was the fastest lap time during the Canadian GP?,fastest_laps
Which driver had the best lap in British GP?,fastest_laps
Who got the fastest lap at the British GP?,fastest_laps
Which driver had the best lap in Monaco GP?,fastest_laps
Which driver had the best lap in Monaco GP?,fastest_laps
What was the fastest lap time during the Australian GP?,fastest_laps
What was the fastest lap time during the Monaco GP?,fastest_laps
What was the fastest lap time during the Monaco GP?,fastest_laps
What was the fastest lap time during the British GP?,fastest_laps
What was the fastest lap time during the Australian GP?,fastest_laps
Who got the fastest lap at the Monaco GP?,fastest_laps
Who got the fastest lap at the Monaco GP?,fastest_laps
What was the fastest lap time during the British GP?,fastest_laps
What was the fastest lap time during the Canadian GP?,fastest_laps
What was the fastest lap time during the Australian GP?,fastest_laps
What was the fastest lap time during the Spanish GP?,fastest_laps
What was the fastest lap time during the Australian GP?,fastest_laps
What was the fastest lap time during the Canadian GP?,fastest_laps
Which driver had the best lap in Spanish GP?,fastest_laps
Who got the fastest lap at the Canadian GP?,fastest_laps
Who got the fastest lap at the Spanish GP?,fastest_laps
What was the fastest lap time during the Japanese GP?,fastest_laps
What was the fastest lap time during the British GP?,fastest_laps
Which driver had the best lap in Monaco GP?,fastest_laps
What was the fastest lap time during the Canadian GP?,fastest_laps
What was the fastest lap time during the Australian GP?,fastest_laps
Who got the fastest lap at the Japanese GP?,fastest_laps
Which driver had the best lap in Monaco GP?,fastest_laps
Who got the fastest lap at the Canadian GP?,fastest_laps
Which driver had the best lap in Monaco GP?,fastest_laps
Which driver had the best lap in Canadian GP?,fastest_laps
What was the fastest lap time during the Canadian GP?,fastest_laps
Which driver had the best lap in Australian GP?,fastest_laps
Who got the fastest lap at the Australian GP?,fastest_laps
What was the fastest lap time during the British GP?,fastest_laps
What was the fastest lap time during the Spanish GP?,fastest_laps
Which driver had the best lap in British GP?,fastest_laps
Which driver had the best lap in Monaco GP?,fastest_laps
Which driver had the best lap in Canadian GP?,fastest_laps
Who got the fastest lap at the Japanese GP?,fastest_laps
Who got the fastest lap at the Spanish GP?,fastest_laps
What was the fastest lap time during the Monaco GP?,fastest_laps
Which driver had the best lap in Monaco GP?,fastest_laps
What was the fastest lap time during the Spanish GP?,fastest_laps
Who got the fastest lap at the Spanish GP?,fastest_laps
Who got the fastest lap at the Japanese GP?,fastest_laps
What was the fastest lap time during the Monaco GP?,fastest_laps
What was the fastest lap time during the Spanish GP?,fastest_laps
What was the fastest lap time during the Australian GP?,fastest_laps
Which driver had the best lap in Monaco GP?,fastest_laps
What was the fastest lap time during the Australian GP?,fastest_laps
What was the fastest lap time during the Japanese GP?,fastest_laps
Who got the fastest lap at the Canadian GP?,fastest_laps
Who got the fastest lap at the Japanese GP?,fastest_laps
What was the fastest lap time during the Monaco GP?,fastest_laps
What was the fastest lap time during the Canadian GP?,fastest_laps
What was the fastest lap time during the Australian GP?,fastest_laps
Which driver had the best lap in British GP?,fastest_laps
What was the fastest lap time during the Japanese GP?,fastest_laps
Who got the fastest lap at the Monaco GP?,fastest_laps
Who got the fastest lap at the Australian GP?,fastest_laps
Which driver had the best lap in British GP?,fastest_laps
Who got the fastest lap at the Japanese GP?,fastest_laps
Which driver had the best lap in British GP?,fastest_laps
Who got the fastest lap at the British GP?,fastest_laps
Who got the fastest lap at the British GP?,fastest_laps
What was the fastest lap time during the Australian GP?,fastest_laps
Who got the fastest lap at the Monaco GP?,fastest_laps
Which driver had the best lap in Japanese GP?,fastest_laps
Which driver had the best lap in Canadian GP?,fastest_laps
What was the fastest lap time during the Japanese GP?,fastest_laps
Who got the fastest lap at the British GP?,fastest_laps
Which driver had the best lap in Japanese GP?,fastest_laps
What was the fastest lap time during the Canadian GP?,fastest_laps
Was Leclerc fast in the British GP?,driver_performance
How did Verstappen do in the Australian GP?,driver_performance
How did Russell do in the Spanish GP?,driver_performance
Was Sainz fast in the Canadian GP?,driver_performance
How did Sainz do in the Canadian GP?,driver_performance
How did Norris do in the Canadian GP?,driver_performance
How did Leclerc do in the Spanish GP?,driver_performance
How did Russell do in the Spanish GP?,driver_performance
Was Leclerc fast in the Spanish GP?,driver_performance
Tell me about Verstappen's performance in Spanish GP.,driver_performance
How did Hamilton do in the Canadian GP?,driver_performance
Tell me about Russell's performance in Canadian GP.,driver_performance
Was Russell fast in the Japanese GP?,driver_performance
How did Leclerc do in the Canadian GP?,driver_performance
Tell me about Verstappen's performance in British GP.,driver_performance
How did Verstappen do in the Japanese GP?,driver_performance
How did Hamilton do in the Australian GP?,driver_performance
Tell me about Leclerc's performance in Monaco GP.,driver_performance
How did Hamilton do in the Australian GP?,driver_performance
How did Hamilton do in the British GP?,driver_performance
Tell me about Verstappen's performance in British GP.,driver_performance
How did Russell do in the British GP?,driver_performance
Was Sainz fast in the British GP?,driver_performance
Was Russell fast in the Monaco GP?,driver_performance
Tell me about Leclerc's performance in Australian GP.,driver_performance
Was Norris fast in the Australian GP?,driver_performance
Was Hamilton fast in the Japanese GP?,driver_performance
Tell me about Verstappen's performance in Monaco GP.,driver_performance
Was Leclerc fast in the Australian GP?,driver_performance
Tell me about Russell's performance in Monaco GP.,driver_performance
Was Hamilton fast in the Spanish GP?,driver_performance
Was Sainz fast in the Canadian GP?,driver_performance
How did Norris do in the Australian GP?,driver_performance
How did Hamilton do in the Canadian GP?,driver_performance
How did Leclerc do in the Canadian GP?,driver_performance
Was Russell fast in the Canadian GP?,driver_performance
Tell me about Norris's performance in Canadian GP.,driver_performance
How did Leclerc do in the Spanish GP?,driver_performance
Was Norris fast in the Spanish GP?,driver_performance
Was Verstappen fast in the Canadian GP?,driver_performance
Was Leclerc fast in the Japanese GP?,driver_performance
How did Leclerc do in the Japanese GP?,driver_performance
How did Sainz do in the Australian GP?,driver_performance
Was Hamilton fast in the Australian GP?,driver_performance
Was Leclerc fast in the Australian GP?,driver_performance
Was Verstappen fast in the Monaco GP?,driver_performance
Tell me about Norris's performance in Japanese GP.,driver_performance
How did Russell do in the Australian GP?,driver_performance
Was Verstappen fast in the Monaco GP?,driver_performance
Tell me about Russell's performance in Japanese GP.,driver_performance
How did Verstappen do in the Australian GP?,driver_performance
Tell me about Hamilton's performance in Spanish GP.,driver_performance
How did Russell do in the Canadian GP?,driver_performance
Was Norris fast in the Monaco GP?,driver_performance
Was Norris fast in the Spanish GP?,driver_performance
How did Leclerc do in the Spanish GP?,driver_performance
Was Sainz fast in the Australian GP?,driver_performance
Tell me about Verstappen's performance in Canadian GP.,driver_performance
Was Russell fast in the British GP?,driver_performance
How did Sainz do in the Japanese GP?,driver_performance
Was Sainz fast in the British GP?,driver_performance
Tell me about Verstappen's performance in Monaco GP.,driver_performance
How did Norris do in the Monaco GP?,driver_performance
How did Norris do in the Canadian GP?,driver_performance
Tell me about Leclerc's performance in Japanese GP.,driver_performance
Tell me about Sainz's performance in Monaco GP.,driver_performance
How did Norris do in the British GP?,driver_performance
How did Leclerc do in the Australian GP?,driver_performance
How did Verstappen do in the Canadian GP?,driver_performance
Was Verstappen fast in the Japanese GP?,driver_performance
Was Russell fast in the Monaco GP?,driver_performance
How did Sainz do in the Monaco GP?,driver_performance
Was Sainz fast in the Monaco GP?,driver_performance
Was Hamilton fast in the British GP?,driver_performance
Tell me about Sainz's performance in Australian GP.,driver_performance
How did Hamilton do in the Australian GP?,driver_performance
Was Verstappen fast in the Australian GP?,driver_performance
How did Russell do in the Japanese GP?,driver_performance
Was Russell fast in the Australian GP?,driver_performance
Tell me about Leclerc's performance in Japanese GP.,driver_performance
Was Russell fast in the Spanish GP?,driver_performance
How did Hamilton do in the Spanish GP?,driver_performance
How did Verstappen do in the Spanish GP?,driver_performance
Was Hamilton fast in the Monaco GP?,driver_performance
Was Hamilton fast in the Japanese GP?,driver_performance
Was Verstappen fast in the British GP?,driver_performance
How did Hamilton do in the Spanish GP?,driver_performance
Tell me about Verstappen's performance in Spanish GP.,driver_performance
How did Verstappen do in the British GP?,driver_performance
How did Sainz do in the Japanese GP?,driver_performance
Tell me about Russell's performance in Monaco GP.,driver_performance
Was Verstappen fast in the British GP?,driver_performance
Was Sainz fast in the Canadian GP?,driver_performance
How did Verstappen do in the Canadian GP?,driver_performance
Tell me about Sainz's performance in Monaco GP.,driver_performance
Tell me about Russell's performance in Spanish GP.,driver_performance
Tell me about Russell's performance in British GP.,driver_performance
Tell me about Sainz's performance in Spanish GP.,driver_performance
Was Verstappen fast in the Spanish GP?,driver_performance
How did Verstappen do in the Japanese GP?,driver_performance
How strong was Aston Martin at the Japanese GP?,team_performance
What was Ferrari's result at the Canadian GP?,team_performance
What was Ferrari's result at the Monaco GP?,team_performance
How did Red Bull perform in the Monaco GP?,team_performance
How did Red Bull perform in the Spanish GP?,team_performance
How strong was Red Bull at the Japanese GP?,team_performance
How did McLaren perform in the Australian GP?,team_performance
How did McLaren perform in the Spanish GP?,team_performance
How did Aston Martin perform in the Canadian GP?,team_performance
How did McLaren perform in the Monaco GP?,team_performance
What was Aston Martin's result at the Spanish GP?,team_performance
How strong was Mercedes at the Monaco GP?,team_performance
How did Red Bull perform in the Japanese GP?,team_performance
What was Ferrari's result at the Canadian GP?,team_performance
What was Aston Martin's result at the British GP?,team_performance
What was Mercedes's result at the Australian GP?,team_performance
How did Aston Martin perform in the Spanish GP?,team_performance
How strong was Red Bull at the Australian GP?,team_performance
What was Ferrari's result at the British GP?,team_performance
What was Red Bull's result at the Australian GP?,team_performance
What was Aston Martin's result at the British GP?,team_performance
What was Ferrari's result at the Spanish GP?,team_performance
What was Ferrari's result at the Monaco GP?,team_performance
How did Red Bull perform in the Canadian GP?,team_performance
How did Mercedes perform in the British GP?,team_performance
What was Mercedes's result at the Spanish GP?,team_performance
How strong was McLaren at the British GP?,team_performance
How strong was Red Bull at the Australian GP?,team_performance
What was Ferrari's result at the British GP?,team_performance
How strong was Aston Martin at the Japanese GP?,team_performance
How did McLaren perform in the Japanese GP?,team_performance
How strong was Mercedes at the Spanish GP?,team_performance
How did Red Bull perform in the Monaco GP?,team_performance
How strong was Ferrari at the Spanish GP?,team_performance
How did Aston Martin perform in the Canadian GP?,team_performance
How did Mercedes perform in the Japanese GP?,team_performance
What was Mercedes's result at the Monaco GP?,team_performance
How strong was Ferrari at the Japanese GP?,team_performance
How strong was Ferrari at the British GP?,team_performance
What was Aston Martin's result at the Australian GP?,team_performance
What was Red Bull's result at the Spanish GP?,team_performance
How did Aston Martin perform in the British GP?,team_performance
How strong was Ferrari at the British GP?,team_performance
What was McLaren's result at the Australian GP?,team_performance
How did McLaren perform in the British GP?,team_performance
How strong was McLaren at the Monaco GP?,team_performance
How did Aston Martin perform in the Japanese GP?,team_performance
What was Aston Martin's result at the Japanese GP?,team_performance
How did Aston Martin perform in the Australian GP?,team_performance
What was Red Bull's result at the Japanese GP?,team_performance
How strong was Ferrari at the Monaco GP?,team_performance
What was Red Bull's result at the Monaco GP?,team_performance
What was Ferrari's result at the Spanish GP?,team_performance
How did Red Bull perform in the Canadian GP?,team_performance
How did Red Bull perform in the Japanese GP?,team_performance
How did Aston Martin perform in the Japanese GP?,team_performance
How strong was Aston Martin at the British GP?,team_performance
What was Mercedes's result at the Japanese GP?,team_performance
What was Aston Martin's result at the Monaco GP?,team_performance
How strong was Mercedes at the British GP?,team_performance
What was Ferrari's result at the Monaco GP?,team_performance
How did McLaren perform in the Australian GP?,team_performance
How did Mercedes perform in the Canadian GP?,team_performance
How strong was Ferrari at the Australian GP?,team_performance
How did McLaren perform in the Canadian GP?,team_performance
How did Red Bull perform in the Canadian GP?,team_performance
How did Mercedes perform in the British GP?,team_performance
What was Aston Martin's result at the Spanish GP?,team_performance
How strong was Ferrari at the Spanish GP?,team_performance
What was Mercedes's result at the Canadian GP?,team_performance
How did Ferrari perform in the Monaco GP?,team_performance
How strong was Mercedes at the Canadian GP?,team_performance
How strong was McLaren at the Japanese GP?,team_performance
How did Red Bull perform in the Canadian GP?,team_performance
How did Red Bull perform in the Spanish GP?,team_performance
What was Ferrari's result at the Canadian GP?,team_performance
How did Ferrari perform in the Monaco GP?,team_performance
What was Aston Martin's result at the British GP?,team_performance
How did Mercedes perform in the Australian GP?,team_performance
How strong was Aston Martin at the Canadian GP?,team_performance
How strong was Mercedes at the Spanish GP?,team_performance
How did McLaren perform in the Australian GP?,team_performance
How strong was Mercedes at the British GP?,team_performance
How did Aston Martin perform in the Japanese GP?,team_performance
What was Aston Martin's result at the Canadian GP?,team_performance
How did Red Bull perform in the British GP?,team_performance
How did Aston Martin perform in the Monaco GP?,team_performance
How strong was Mercedes at the British GP?,team_performance
How strong was Red Bull at the Japanese GP?,team_performance
What was Aston Martin's result at the Japanese GP?,team_performance
How did Ferrari perform in the British GP?,team_performance
How strong was Red Bull at the Spanish GP?,team_performance
What was Red Bull's result at the Australian GP?,team_performance
How strong was Red Bull at the Australian GP?,team_performance
How strong was Aston Martin at the Japanese GP?,team_performance
How did Aston Martin perform in the Japanese GP?,team_performance
What was Red Bull's result at the Japanese GP?,team_performance
How did McLaren perform in the Spanish GP?,team_performance
What was Aston Martin's result at the Canadian GP?,team_performance
What was Mercedes's result at the Monaco GP?,team_performance
What were the biggest overtakes during the Japanese GP?,position_changes
What were the biggest overtakes during the Canadian GP?,position_changes
Who gained the most positions in the Spanish GP?,position_changes
What were the biggest overtakes during the Japanese GP?,position_changes
Which drivers lost places in the Monaco GP?,position_changes
Who gained the most positions in the Japanese GP?,position_changes
Who gained the most positions in the Australian GP?,position_changes
What were the biggest overtakes during the Monaco GP?,position_changes
Who gained the most positions in the British GP?,position_changes
What were the biggest overtakes during the Spanish GP?,position_changes
Which drivers lost places in the Japanese GP?,position_changes
Who gained the most positions in the Monaco GP?,position_changes
Who gained the most positions in the Australian GP?,position_changes
What were the biggest overtakes during the Monaco GP?,position_changes
Which drivers lost places in the Spanish GP?,position_changes
What were the biggest overtakes during the Australian GP?,position_changes
Which drivers lost places in the Spanish GP?,position_changes
What were the biggest overtakes during the Monaco GP?,position_changes
What were the biggest overtakes during the Spanish GP?,position_changes
